GEN_BLD_SUSPEND_YRS_1,GEN_BLD_SUSPEND_YRS_2,GEN_BLD_SUSPEND_YRS_3,SuspendGen
ISNE_conventional_hydroelectric_1,1954,2040,0.0
ISNE_conventional_hydroelectric_1,1954,2050,0.0
ISNE_conventional_hydroelectric_1,1955,2030,0.0
ISNE_conventional_hydroelectric_1,1955,2040,0.0
ISNE_conventional_hydroelectric_1,1955,2050,0.0
ISNE_conventional_hydroelectric_1,1957,2030,0.0
ISNE_conventional_hydroelectric_1,1957,2040,0.0
ISNE_conventional_hydroelectric_1,1957,2050,0.0
ISNE_conventional_hydroelectric_1,1967,2030,0.0
ISNE_conventional_hydroelectric_1,1967,2040,0.0
ISNE_conventional_hydroelectric_1,1967,2050,0.0
ISNE_conventional_hydroelectric_1,1975,2030,0.0
ISNE_conventional_hydroelectric_1,1975,2040,0.0
ISNE_conventional_hydroelectric_1,1975,2050,0.0
ISNE_conventional_hydroelectric_1,1980,2030,0.0
ISNE_conventional_hydroelectric_1,1980,2040,0.0
ISNE_conventional_hydroelectric_1,1980,2050,0.0
ISNE_conventional_hydroelectric_1,1981,2030,0.0
ISNE_conventional_hydroelectric_1,1981,2040,0.0
ISNE_conventional_hydroelectric_1,1981,2050,0.0
ISNE_conventional_hydroelectric_1,1983,2030,0.0
ISNE_conventional_hydroelectric_1,1983,2040,0.0
ISNE_conventional_hydroelectric_1,1983,2050,0.0
ISNE_conventional_hydroelectric_1,1984,2030,0.0
ISNE_conventional_hydroelectric_1,1984,2040,0.0
ISNE_conventional_hydroelectric_1,1984,2050,0.0
ISNE_conventional_hydroelectric_1,1986,2030,0.0
ISNE_conventional_hydroelectric_1,1986,2040,0.0
ISNE_conventional_hydroelectric_1,1986,2050,0.0
ISNE_conventional_hydroelectric_1,1987,2030,0.0
ISNE_conventional_hydroelectric_1,1987,2040,0.0
ISNE_conventional_hydroelectric_1,1987,2050,0.0
ISNE_conventional_hydroelectric_1,1988,2030,0.0
ISNE_conventional_hydroelectric_1,1988,2040,0.0
ISNE_conventional_hydroelectric_1,1988,2050,0.0
ISNE_conventional_hydroelectric_1,1989,2030,0.0
ISNE_conventional_hydroelectric_1,1989,2040,0.0
ISNE_conventional_hydroelectric_1,1989,2050,0.0
ISNE_conventional_hydroelectric_1,2008,2030,0.0
ISNE_conventional_hydroelectric_1,2008,2040,0.0
ISNE_conventional_hydroelectric_1,2008,2050,0.0
ISNE_conventional_hydroelectric_1,2023,2030,0.0
ISNE_conventional_hydroelectric_1,2023,2040,0.0
ISNE_conventional_hydroelectric_1,2023,2050,0.0
ISNE_conventional_steam_coal_1,1968,2030,0.0
ISNE_hydroelectric_pumped_storage_1,1972,2030,0.0
ISNE_hydroelectric_pumped_storage_1,1972,2040,0.0
ISNE_hydroelectric_pumped_storage_1,1972,2050,0.0
ISNE_hydroelectric_pumped_storage_1,1973,2030,0.0
ISNE_hydroelectric_pumped_storage_1,1973,2040,0.0
ISNE_hydroelectric_pumped_storage_1,1973,2050,0.0
ISNE_hydroelectric_pumped_storage_1,1974,2030,0.0
ISNE_hydroelectric_pumped_storage_1,1974,2040,0.0
ISNE_hydroelectric_pumped_storage_1,1974,2050,0.0
ISNE_natural_gas_fired_combined_cycle_1,1975,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,1976,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,1977,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,1981,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,1981,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,1990,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,1990,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,1990,2050,0.0
ISNE_natural_gas_fired_combined_cycle_1,1991,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,1991,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,1991,2050,0.0
ISNE_natural_gas_fired_combined_cycle_1,1992,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,1992,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,1992,2050,0.0
ISNE_natural_gas_fired_combined_cycle_1,1993,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,1993,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,1993,2050,0.0
ISNE_natural_gas_fired_combined_cycle_1,1999,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,1999,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,1999,2050,0.0
ISNE_natural_gas_fired_combined_cycle_1,2000,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,2000,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,2000,2050,0.0
ISNE_natural_gas_fired_combined_cycle_1,2001,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,2001,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,2001,2050,0.0
ISNE_natural_gas_fired_combined_cycle_1,2002,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,2002,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,2002,2050,0.0
ISNE_natural_gas_fired_combined_cycle_1,2006,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,2006,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,2006,2050,0.0
ISNE_natural_gas_fired_combined_cycle_1,2008,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,2008,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,2008,2050,0.0
ISNE_natural_gas_fired_combined_cycle_1,2010,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,2010,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,2010,2050,0.0
ISNE_natural_gas_fired_combined_cycle_1,2012,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,2012,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,2012,2050,0.0
ISNE_natural_gas_fired_combined_cycle_1,2016,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,2016,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,2016,2050,0.0
ISNE_natural_gas_fired_combined_cycle_1,2024,2030,0.0
ISNE_natural_gas_fired_combined_cycle_1,2024,2040,0.0
ISNE_natural_gas_fired_combined_cycle_1,2024,2050,0.0
ISNE_natural_gas_fired_combined_cycle_2,1995,2030,0.0
ISNE_natural_gas_fired_combined_cycle_2,1995,2040,0.0
ISNE_natural_gas_fired_combined_cycle_2,1995,2050,0.0
ISNE_natural_gas_fired_combined_cycle_2,1998,2030,0.0
ISNE_natural_gas_fired_combined_cycle_2,1998,2040,0.0
ISNE_natural_gas_fired_combined_cycle_2,1998,2050,0.0
ISNE_natural_gas_fired_combined_cycle_2,1999,2030,0.0
ISNE_natural_gas_fired_combined_cycle_2,1999,2040,0.0
ISNE_natural_gas_fired_combined_cycle_2,1999,2050,0.0
ISNE_natural_gas_fired_combined_cycle_2,2000,2030,0.0
ISNE_natural_gas_fired_combined_cycle_2,2000,2040,0.0
ISNE_natural_gas_fired_combined_cycle_2,2000,2050,0.0
ISNE_natural_gas_fired_combined_cycle_2,2001,2030,0.0
ISNE_natural_gas_fired_combined_cycle_2,2001,2040,0.0
ISNE_natural_gas_fired_combined_cycle_2,2001,2050,0.0
ISNE_natural_gas_fired_combined_cycle_2,2002,2030,0.0
ISNE_natural_gas_fired_combined_cycle_2,2002,2040,0.0
ISNE_natural_gas_fired_combined_cycle_2,2002,2050,0.0
ISNE_natural_gas_fired_combined_cycle_2,2003,2030,0.0
ISNE_natural_gas_fired_combined_cycle_2,2003,2040,0.0
ISNE_natural_gas_fired_combined_cycle_2,2003,2050,0.0
ISNE_natural_gas_fired_combined_cycle_2,2004,2030,0.0
ISNE_natural_gas_fired_combined_cycle_2,2004,2040,0.0
ISNE_natural_gas_fired_combined_cycle_2,2004,2050,0.0
ISNE_natural_gas_fired_combined_cycle_2,2011,2030,0.0
ISNE_natural_gas_fired_combined_cycle_2,2011,2040,0.0
ISNE_natural_gas_fired_combined_cycle_2,2011,2050,0.0
ISNE_natural_gas_fired_combined_cycle_2,2018,2030,0.0
ISNE_natural_gas_fired_combined_cycle_2,2018,2040,0.0
ISNE_natural_gas_fired_combined_cycle_2,2018,2050,0.0
ISNE_natural_gas_fired_combined_cycle_2,2019,2030,0.0
ISNE_natural_gas_fired_combined_cycle_2,2019,2040,0.0
ISNE_natural_gas_fired_combined_cycle_2,2019,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,1989,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,1990,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,1990,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,1992,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,1992,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2000,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2000,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2000,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2001,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2001,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2001,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2003,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2003,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2003,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2004,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2004,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2004,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2005,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2005,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2005,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2006,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2006,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2006,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2007,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2007,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2007,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2008,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2008,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2008,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2009,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2009,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2009,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2011,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2011,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2011,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2013,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2013,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2013,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2015,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2015,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2015,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2017,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2017,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2017,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2019,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2019,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2019,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2021,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2021,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2021,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2022,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2022,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2022,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2023,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2023,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2023,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2024,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2024,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_1,2024,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_2,1990,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_2,1990,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2001,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2001,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2001,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2007,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2007,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2007,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2009,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2009,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2009,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2018,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2018,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2018,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2019,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2019,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2019,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2022,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2022,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2022,2050,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2023,2030,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2023,2040,0.0
ISNE_natural_gas_fired_combustion_turbine_2,2023,2050,0.0
ISNE_natural_gas_internal_combustion_engine_1,1982,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,1982,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,1983,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,1983,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,1984,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,1984,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,1986,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,1986,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,1994,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,1994,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,1994,2050,0.0
ISNE_natural_gas_internal_combustion_engine_1,1999,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,1999,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,1999,2050,0.0
ISNE_natural_gas_internal_combustion_engine_1,2002,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,2002,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,2002,2050,0.0
ISNE_natural_gas_internal_combustion_engine_1,2004,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,2004,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,2004,2050,0.0
ISNE_natural_gas_internal_combustion_engine_1,2009,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,2009,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,2009,2050,0.0
ISNE_natural_gas_internal_combustion_engine_1,2010,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,2010,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,2010,2050,0.0
ISNE_natural_gas_internal_combustion_engine_1,2013,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,2013,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,2013,2050,0.0
ISNE_natural_gas_internal_combustion_engine_1,2014,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,2014,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,2014,2050,0.0
ISNE_natural_gas_internal_combustion_engine_1,2015,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,2015,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,2015,2050,0.0
ISNE_natural_gas_internal_combustion_engine_1,2017,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,2017,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,2017,2050,0.0
ISNE_natural_gas_internal_combustion_engine_1,2019,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,2019,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,2019,2050,0.0
ISNE_natural_gas_internal_combustion_engine_1,2021,2030,0.0
ISNE_natural_gas_internal_combustion_engine_1,2021,2040,0.0
ISNE_natural_gas_internal_combustion_engine_1,2021,2050,0.0
ISNE_natural_gas_steam_turbine_1,1980,2030,0.0
ISNE_natural_gas_steam_turbine_1,1985,2030,0.0
ISNE_natural_gas_steam_turbine_1,1993,2030,0.0
ISNE_natural_gas_steam_turbine_1,1993,2040,0.0
ISNE_natural_gas_steam_turbine_1,2002,2030,0.0
ISNE_natural_gas_steam_turbine_1,2002,2040,0.0
ISNE_natural_gas_steam_turbine_1,2002,2050,0.0
ISNE_natural_gas_steam_turbine_1,2003,2030,0.0
ISNE_natural_gas_steam_turbine_1,2003,2040,0.0
ISNE_natural_gas_steam_turbine_1,2003,2050,0.0
ISNE_natural_gas_steam_turbine_1,2007,2030,0.0
ISNE_natural_gas_steam_turbine_1,2007,2040,0.0
ISNE_natural_gas_steam_turbine_1,2007,2050,0.0
ISNE_natural_gas_steam_turbine_1,2013,2030,0.0
ISNE_natural_gas_steam_turbine_1,2013,2040,0.0
ISNE_natural_gas_steam_turbine_1,2013,2050,0.0
ISNE_natural_gas_steam_turbine_1,2021,2030,0.0
ISNE_natural_gas_steam_turbine_1,2021,2040,0.0
ISNE_natural_gas_steam_turbine_1,2021,2050,0.0
ISNE_nuclear_1,1975,2030,0.0
ISNE_nuclear_1,1975,2040,0.0
ISNE_nuclear_1,1975,2050,0.0
ISNE_nuclear_1,1986,2030,0.0
ISNE_nuclear_1,1986,2040,0.0
ISNE_nuclear_1,1986,2050,0.0
ISNE_nuclear_1,1990,2030,0.0
ISNE_nuclear_1,1990,2040,0.0
ISNE_nuclear_1,1990,2050,0.0
ISNE_offshore_wind_turbine_1,2016,2030,0.0
ISNE_offshore_wind_turbine_1,2016,2040,0.0
ISNE_onshore_wind_turbine_1,2006,2030,0.0
ISNE_onshore_wind_turbine_1,2007,2030,0.0
ISNE_onshore_wind_turbine_1,2008,2030,0.0
ISNE_onshore_wind_turbine_1,2009,2030,0.0
ISNE_onshore_wind_turbine_1,2010,2030,0.0
ISNE_onshore_wind_turbine_1,2010,2040,0.0
ISNE_onshore_wind_turbine_1,2011,2030,0.0
ISNE_onshore_wind_turbine_1,2011,2040,0.0
ISNE_onshore_wind_turbine_1,2012,2030,0.0
ISNE_onshore_wind_turbine_1,2012,2040,0.0
ISNE_onshore_wind_turbine_1,2013,2030,0.0
ISNE_onshore_wind_turbine_1,2013,2040,0.0
ISNE_onshore_wind_turbine_1,2014,2030,0.0
ISNE_onshore_wind_turbine_1,2014,2040,0.0
ISNE_onshore_wind_turbine_1,2015,2030,0.0
ISNE_onshore_wind_turbine_1,2015,2040,0.0
ISNE_onshore_wind_turbine_1,2016,2030,0.0
ISNE_onshore_wind_turbine_1,2016,2040,0.0
ISNE_onshore_wind_turbine_1,2017,2030,0.0
ISNE_onshore_wind_turbine_1,2017,2040,0.0
ISNE_onshore_wind_turbine_1,2018,2030,0.0
ISNE_onshore_wind_turbine_1,2018,2040,0.0
ISNE_onshore_wind_turbine_1,2019,2030,0.0
ISNE_onshore_wind_turbine_1,2019,2040,0.0
ISNE_onshore_wind_turbine_1,2020,2030,0.0
ISNE_onshore_wind_turbine_1,2020,2040,0.0
ISNE_onshore_wind_turbine_1,2020,2050,0.0
ISNE_onshore_wind_turbine_1,2021,2030,0.0
ISNE_onshore_wind_turbine_1,2021,2040,0.0
ISNE_onshore_wind_turbine_1,2021,2050,0.0
ISNE_onshore_wind_turbine_1,2022,2030,0.0
ISNE_onshore_wind_turbine_1,2022,2040,0.0
ISNE_onshore_wind_turbine_1,2022,2050,0.0
ISNE_petroleum_liquids_1,1990,2030,0.0
ISNE_petroleum_liquids_1,1991,2030,0.0
ISNE_petroleum_liquids_1,1992,2030,0.0
ISNE_petroleum_liquids_1,1993,2030,0.0
ISNE_petroleum_liquids_1,1994,2030,0.0
ISNE_petroleum_liquids_1,1995,2030,0.0
ISNE_petroleum_liquids_1,1996,2030,0.0
ISNE_petroleum_liquids_1,1997,2030,0.0
ISNE_petroleum_liquids_1,2000,2030,0.0
ISNE_petroleum_liquids_1,2000,2040,0.0
ISNE_petroleum_liquids_1,2001,2030,0.0
ISNE_petroleum_liquids_1,2001,2040,0.0
ISNE_petroleum_liquids_1,2002,2030,0.0
ISNE_petroleum_liquids_1,2002,2040,0.0
ISNE_petroleum_liquids_1,2003,2030,0.0
ISNE_petroleum_liquids_1,2003,2040,0.0
ISNE_petroleum_liquids_1,2004,2030,0.0
ISNE_petroleum_liquids_1,2004,2040,0.0
ISNE_petroleum_liquids_1,2005,2030,0.0
ISNE_petroleum_liquids_1,2005,2040,0.0
ISNE_petroleum_liquids_1,2006,2030,0.0
ISNE_petroleum_liquids_1,2006,2040,0.0
ISNE_petroleum_liquids_1,2007,2030,0.0
ISNE_petroleum_liquids_1,2007,2040,0.0
ISNE_petroleum_liquids_1,2008,2030,0.0
ISNE_petroleum_liquids_1,2008,2040,0.0
ISNE_petroleum_liquids_1,2009,2030,0.0
ISNE_petroleum_liquids_1,2009,2040,0.0
ISNE_petroleum_liquids_1,2010,2030,0.0
ISNE_petroleum_liquids_1,2010,2040,0.0
ISNE_petroleum_liquids_1,2010,2050,0.0
ISNE_petroleum_liquids_1,2011,2030,0.0
ISNE_petroleum_liquids_1,2011,2040,0.0
ISNE_petroleum_liquids_1,2011,2050,0.0
ISNE_petroleum_liquids_1,2012,2030,0.0
ISNE_petroleum_liquids_1,2012,2040,0.0
ISNE_petroleum_liquids_1,2012,2050,0.0
ISNE_petroleum_liquids_1,2013,2030,0.0
ISNE_petroleum_liquids_1,2013,2040,0.0
ISNE_petroleum_liquids_1,2013,2050,0.0
ISNE_petroleum_liquids_1,2014,2030,0.0
ISNE_petroleum_liquids_1,2014,2040,0.0
ISNE_petroleum_liquids_1,2014,2050,0.0
ISNE_petroleum_liquids_1,2015,2030,0.0
ISNE_petroleum_liquids_1,2015,2040,0.0
ISNE_petroleum_liquids_1,2015,2050,0.0
ISNE_petroleum_liquids_1,2016,2030,0.0
ISNE_petroleum_liquids_1,2016,2040,0.0
ISNE_petroleum_liquids_1,2016,2050,0.0
ISNE_petroleum_liquids_1,2017,2030,0.0
ISNE_petroleum_liquids_1,2017,2040,0.0
ISNE_petroleum_liquids_1,2017,2050,0.0
ISNE_petroleum_liquids_1,2018,2030,0.0
ISNE_petroleum_liquids_1,2018,2040,0.0
ISNE_petroleum_liquids_1,2018,2050,0.0
ISNE_petroleum_liquids_1,2019,2030,0.0
ISNE_petroleum_liquids_1,2019,2040,0.0
ISNE_petroleum_liquids_1,2019,2050,0.0
ISNE_small_hydroelectric_1,1930,2030,0.0
ISNE_small_hydroelectric_1,1931,2030,0.0
ISNE_small_hydroelectric_1,1934,2030,0.0
ISNE_small_hydroelectric_1,1935,2030,0.0
ISNE_small_hydroelectric_1,1936,2030,0.0
ISNE_small_hydroelectric_1,1937,2030,0.0
ISNE_small_hydroelectric_1,1938,2030,0.0
ISNE_small_hydroelectric_1,1939,2030,0.0
ISNE_small_hydroelectric_1,1940,2030,0.0
ISNE_small_hydroelectric_1,1940,2040,0.0
ISNE_small_hydroelectric_1,1941,2030,0.0
ISNE_small_hydroelectric_1,1941,2040,0.0
ISNE_small_hydroelectric_1,1942,2030,0.0
ISNE_small_hydroelectric_1,1942,2040,0.0
ISNE_small_hydroelectric_1,1943,2030,0.0
ISNE_small_hydroelectric_1,1943,2040,0.0
ISNE_small_hydroelectric_1,1944,2030,0.0
ISNE_small_hydroelectric_1,1944,2040,0.0
ISNE_small_hydroelectric_1,1946,2030,0.0
ISNE_small_hydroelectric_1,1946,2040,0.0
ISNE_small_hydroelectric_1,1947,2030,0.0
ISNE_small_hydroelectric_1,1947,2040,0.0
ISNE_small_hydroelectric_1,1948,2030,0.0
ISNE_small_hydroelectric_1,1948,2040,0.0
ISNE_small_hydroelectric_1,1949,2030,0.0
ISNE_small_hydroelectric_1,1949,2040,0.0
ISNE_small_hydroelectric_1,1950,2030,0.0
ISNE_small_hydroelectric_1,1950,2040,0.0
ISNE_small_hydroelectric_1,1950,2050,0.0
ISNE_small_hydroelectric_1,1951,2030,0.0
ISNE_small_hydroelectric_1,1951,2040,0.0
ISNE_small_hydroelectric_1,1951,2050,0.0
ISNE_small_hydroelectric_1,1953,2030,0.0
ISNE_small_hydroelectric_1,1953,2040,0.0
ISNE_small_hydroelectric_1,1953,2050,0.0
ISNE_small_hydroelectric_1,1954,2030,0.0
ISNE_small_hydroelectric_1,1954,2040,0.0
ISNE_small_hydroelectric_1,1954,2050,0.0
ISNE_small_hydroelectric_1,1956,2030,0.0
ISNE_small_hydroelectric_1,1956,2040,0.0
ISNE_small_hydroelectric_1,1956,2050,0.0
ISNE_small_hydroelectric_1,1961,2030,0.0
ISNE_small_hydroelectric_1,1961,2040,0.0
ISNE_small_hydroelectric_1,1961,2050,0.0
ISNE_small_hydroelectric_1,1964,2030,0.0
ISNE_small_hydroelectric_1,1964,2040,0.0
ISNE_small_hydroelectric_1,1964,2050,0.0
ISNE_small_hydroelectric_1,1966,2030,0.0
ISNE_small_hydroelectric_1,1966,2040,0.0
ISNE_small_hydroelectric_1,1966,2050,0.0
ISNE_small_hydroelectric_1,1967,2030,0.0
ISNE_small_hydroelectric_1,1967,2040,0.0
ISNE_small_hydroelectric_1,1967,2050,0.0
ISNE_small_hydroelectric_1,1969,2030,0.0
ISNE_small_hydroelectric_1,1969,2040,0.0
ISNE_small_hydroelectric_1,1969,2050,0.0
ISNE_small_hydroelectric_1,1970,2030,0.0
ISNE_small_hydroelectric_1,1970,2040,0.0
ISNE_small_hydroelectric_1,1970,2050,0.0
ISNE_small_hydroelectric_1,1974,2030,0.0
ISNE_small_hydroelectric_1,1974,2040,0.0
ISNE_small_hydroelectric_1,1974,2050,0.0
ISNE_small_hydroelectric_1,1979,2030,0.0
ISNE_small_hydroelectric_1,1979,2040,0.0
ISNE_small_hydroelectric_1,1979,2050,0.0
ISNE_small_hydroelectric_1,1980,2030,0.0
ISNE_small_hydroelectric_1,1980,2040,0.0
ISNE_small_hydroelectric_1,1980,2050,0.0
ISNE_small_hydroelectric_1,1981,2030,0.0
ISNE_small_hydroelectric_1,1981,2040,0.0
ISNE_small_hydroelectric_1,1981,2050,0.0
ISNE_small_hydroelectric_1,1982,2030,0.0
ISNE_small_hydroelectric_1,1982,2040,0.0
ISNE_small_hydroelectric_1,1982,2050,0.0
ISNE_small_hydroelectric_1,1983,2030,0.0
ISNE_small_hydroelectric_1,1983,2040,0.0
ISNE_small_hydroelectric_1,1983,2050,0.0
ISNE_small_hydroelectric_1,1984,2030,0.0
ISNE_small_hydroelectric_1,1984,2040,0.0
ISNE_small_hydroelectric_1,1984,2050,0.0
ISNE_small_hydroelectric_1,1985,2030,0.0
ISNE_small_hydroelectric_1,1985,2040,0.0
ISNE_small_hydroelectric_1,1985,2050,0.0
ISNE_small_hydroelectric_1,1986,2030,0.0
ISNE_small_hydroelectric_1,1986,2040,0.0
ISNE_small_hydroelectric_1,1986,2050,0.0
